"","LICENSE NUMBER","PROVIDER NAME","PROVIDER SERVICE TYPE","STREET ADDRESS","CITY","STATE","ZIP","COUNTY","ECC","CCRR","SCHOOL DISTRICT OPERATED PROGRAM","SCHOOL DISTRICT","QUALITY RATING","QUALITY RATING EFFECTIVE DATE","QUALITY RATING EXPIRATION DATE","CCCAP FISCAL AGREEMENT STATUS","CCCAP AUTHORIZATION STATUS","TOTAL LICENSED CAPACITY","LICENSED HOME CAPACITY","LICENSED CENTER INFANT CAPACITY","LICENSED CENTER TODDLER CAPACITY","LICENSED CENTER PRESCHOOL CAPACITY","LICENSED PRESCHOOL AND SCHOOL AGE CAPACITY","LICENSED SCHOOL AGE CAPACITY","LICENSED NYO CAPACITY","LICENSED RESIDENT CAMP CAPACITY","GOVERNING BODY"
"3399","18028","Tope D51 Preschool","Preschool Program","2220 N 7th ST","Grand Junction","CO","81501","Mesa","Mesa County Partnership for Children & Families","Hilltop/Western Colorado",TRUE,NA,4,2025-02-28,2028-01-01,FALSE,FALSE,58,NA,NA,NA,58,0,NA,NA,NA,NA
"3400","1546387","LIL TOT'S CHILD CARE CENTER, INC.","Child Care Center","5325 E Thrill PL","Denver","CO","80207","Denver","Denver's Early Childhood Council","Denver's ECC",FALSE,"DENVER PUBLIC SCHOOLS",4,2024-07-31,2027-07-31,TRUE,TRUE,24,NA,NA,NA,0,24,NA,NA,NA,NA
"3401","84274","FORT LEWIS MESA PRESCHOOL","Child Care Center","11274 Hwy 140","Hesperus","CO","81326","La Plata","Early Childhood Council of La Plata County","ECC La Plata Co",TRUE,"District 9-R (Durango)",1,NA,NA,TRUE,FALSE,16,NA,NA,NA,16,0,NA,NA,NA,NA
"3402","34318","Marchella Pacheco","Family Child Care Home",NA,"Montrose","CO","81402","Montrose","Bright Futures","Bright Futures",FALSE,NA,4,2023-11-30,2027-09-30,TRUE,TRUE,6,6,0,0,NA,NA,0,0,0,NA
"3403","1513247","SANGRE DE CRISTO SCHOOL DISTRICT RE 22J","Preschool Program","8751 Lane 7 N","Mosca","CO","81146","Alamosa","Early Childhood Council of the San Luis Valley","ECC SLV",TRUE,"Sangre de Cristo RE 22J",5,2025-02-28,2028-02-28,FALSE,FALSE,19,NA,NA,NA,0,19,NA,NA,NA,NA
"3404","93398","CORPUS CHRISTI CATHOLIC SCHOOL","Child Care Center","2410 N Cascade AVE","Colorado Springs","CO","80907","El Paso","Alliance for Kids","Alliance for Kids",FALSE,"D-11",2,2024-02-28,2027-09-30,FALSE,FALSE,34,NA,NA,NA,0,34,NA,NA,NA,NA
"3405","1503646","Hinsdale County School District RE-1","Preschool Program","614 Silver Street","Lake City","CO","81235","Hinsdale","Gunnison Hinsdale Early Childhood Council","Bright Futures",FALSE,NA,4,2023-02-28,2027-09-30,FALSE,FALSE,15,NA,NA,NA,0,15,NA,NA,NA,NA
"3406","9890","PIONEER PRESCHOOL","Child Care Center","412 N C ST","Cripple Creek","CO","80813","Teller","Teller/Park Early Childhood Council","Alliance for Kids",FALSE,NA,1,NA,NA,TRUE,TRUE,56,0,8,8,40,0,0,0,0,"Cripple Creek-Victor School District RE 1"
"3407","74764","Mary Jane Sterling","3 under 18 Months Family Child Care Home",NA,"Aurora","CO","80013","Arapahoe","Arapahoe County Early Childhood Council","Child Care Innovations",FALSE,"Aurora Public Schools",1,NA,NA,FALSE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"3408","1553652","CLEAR SKY ELEMENTARY","Preschool Program","1470 Clear Sky WAY","Castle Rock","CO","80109","Douglas","Douglas County Early Childhood Council","Child Care Innovations",TRUE,"Douglas County School District",4,2026-01-09,2029-01-31,FALSE,FALSE,20,NA,NA,NA,20,0,NA,NA,NA,NA
"3409","7366","Jennifer Mace","Experienced Family Child Care Home",NA,"Morrison","CO","80465","Jefferson","Triad Early Childhood Council","Child Care Innovations",FALSE,"Jefferson County School District",1,NA,NA,FALSE,FALSE,9,9,0,0,NA,NA,0,0,0,NA
"3410","1504931","BRUSH CREEK ELEMENTARY SCHOOL","Child Care Center","333 Eagle Ranch RD","Eagle","CO","81631","Eagle","Rocky Mountain Early Childhood Council","Mountain Valley Developmental Svcs",TRUE,"Eagle County School District Re-50J",4,2023-07-01,2028-06-30,TRUE,TRUE,30,NA,NA,NA,30,0,NA,NA,NA,NA
